asset_id,department,section_from,section_to,km_start,km_end,mast_start,mast_end,line,contact_wire_diameter_mm,wire_wear_percentage,wire_status,catenary_wire_condition,atd_position_mm,atd_status,ambient_temperature_c,wire_height_at_support_mm,stagger_mm,insulator_condition,pantograph_spark_count_30d,mast_foundation_status,power_block_required,tower_wagon_required,days_since_last_maintenance,ground_truth_failure,ground_truth_rul_days
OHE-0117,TRACTION_DISTRIBUTION_OHE,FZD,ETW,253.03,254.45,253/13,253/32,UP,10.06,54.6,WORN,WORN,524.1,NORMAL,21.6,5554,55,CLEAN,4,TILTING,True,False,135,0,192
OHE-0118,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,112.88,113.52,112/15,112/28,DN,9.11,78.4,CRITICAL,CRITICAL,576.9,NORMAL,42.4,5482,-81,CLEAN,31,STABLE,True,True,365,1,19
OHE-0119,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,141.95,142.61,141/6,141/28,UP,8.08,100.0,CONDEMN_RENEW,WORN,311.5,NORMAL,15.7,5723,-116,CLEAN,5,STABLE,True,True,333,1,19
OHE-0120,TRACTION_DISTRIBUTION_OHE,DER,KRJ,58.63,59.85,58/13,58/23,UP,11.57,16.8,GOOD,GOOD,604.8,NORMAL,24.4,5595,-151,CLEAN,1,STABLE,True,False,107,0,348
OHE-0121,TRACTION_DISTRIBUTION_OHE,DER,KRJ,75.93,77.42,75/7,75/23,UP,9.0,81.2,CRITICAL,WORN,646.1,NORMAL,30.9,5603,92,CLEAN,12,STABLE,True,True,225,0,216
OHE-0122,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,161.67,162.76,161/6,161/29,DN,10.97,31.8,GOOD,GOOD,602.9,NORMAL,28.9,5552,79,CLEAN,3,STABLE,True,False,218,0,331
OHE-0123,TRACTION_DISTRIBUTION_OHE,PHD,CNB,413.99,415.2,413/11,413/26,UP,8.55,92.5,CONDEMN_RENEW,CRITICAL,561.4,NORMAL,26.6,5524,42,CLEAN,12,STABLE,True,True,287,1,20
OHE-0124,TRACTION_DISTRIBUTION_OHE,DER,KRJ,44.48,45.55,44/1,44/23,UP,9.51,68.4,CRITICAL,WORN,498.5,NORMAL,22.1,5575,-114,CLEAN,19,STABLE,True,True,224,1,21
OHE-0125,TRACTION_DISTRIBUTION_OHE,GZB,DER,33.53,34.53,33/14,33/31,UP,11.25,24.8,GOOD,GOOD,600.9,NORMAL,32.4,5572,158,CLEAN,2,STABLE,True,False,30,0,360
OHE-0126,TRACTION_DISTRIBUTION_OHE,DER,KRJ,39.72,41.04,39/6,39/29,DN,11.58,16.5,GOOD,GOOD,414.9,NORMAL,21.1,5577,-98,CLEAN,0,STABLE,True,False,101,0,349
OHE-0127,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,20.24,21.62,20/2,20/26,DN,11.69,13.8,GOOD,WORN,618.7,NORMAL,36.7,5440,-119,CLEAN,3,STABLE,True,False,15,0,362
OHE-0128,TRACTION_DISTRIBUTION_OHE,GZB,DER,35.3,35.96,35/10,35/21,DN,11.4,21.1,GOOD,GOOD,535.1,NORMAL,29.8,5543,91,POLLUTED,2,STABLE,True,False,129,0,307
OHE-0129,TRACTION_DISTRIBUTION_OHE,TDL,FZD,217.34,218.21,217/9,217/31,UP,10.28,49.1,WORN,GOOD,660.3,NORMAL,39.8,5526,-32,CLEAN,4,STABLE,True,False,173,0,281
OHE-0130,TRACTION_DISTRIBUTION_OHE,PHD,CNB,431.26,431.97,431/12,431/20,DN,8.0,100.0,CONDEMN_RENEW,CRITICAL,474.9,NORMAL,24.1,5554,-73,CLEAN,16,STABLE,True,True,303,1,12
OHE-0131,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,17.43,18.61,17/5,17/18,DN,8.0,100.0,CONDEMN_RENEW,CRITICAL,558.3,NORMAL,32.3,5524,40,CLEAN,21,STABLE,True,True,345,1,11
OHE-0132,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,172.72,173.29,172/2,172/24,UP,12.24,0.0,GOOD,WORN,437.0,NORMAL,19.8,5610,-12,CLEAN,3,STABLE,True,False,61,0,355
OHE-0133,TRACTION_DISTRIBUTION_OHE,PHD,CNB,364.23,365.07,364/6,364/17,DN,8.0,100.0,CONDEMN_RENEW,WORN,486.0,NORMAL,30.2,5591,0,CLEAN,24,STABLE,True,True,348,1,11
OHE-0134,TRACTION_DISTRIBUTION_OHE,ETW,PHD,330.57,331.28,330/14,330/23,DN,8.72,88.2,CONDEMN_RENEW,WORN,363.2,NORMAL,20.1,5551,-66,CLEAN,17,STABLE,True,True,265,1,12
OHE-0135,TRACTION_DISTRIBUTION_OHE,FZD,ETW,228.94,229.7,228/1,228/30,DN,10.65,39.8,GOOD,GOOD,391.1,NORMAL,21.1,5563,-5,CLEAN,1,STABLE,True,False,12,0,363
OHE-0136,TRACTION_DISTRIBUTION_OHE,DER,KRJ,70.24,70.88,70/6,70/17,UP,12.24,0.0,GOOD,GOOD,530.0,NORMAL,38.3,5590,-147,FLASHOVER_RISK,19,STABLE,True,False,90,0,180
OHE-0137,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,13.55,14.38,13/10,13/29,DN,11.6,16.0,GOOD,GOOD,448.6,NORMAL,19.3,5422,-149,CLEAN,2,STABLE,True,False,60,0,355
OHE-0138,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,126.77,127.43,126/8,126/26,UP,8.86,84.7,CRITICAL,CRITICAL,559.9,NORMAL,24.6,5648,-47,POLLUTED,26,SETTLEMENT,True,True,177,1,18
OHE-0139,TRACTION_DISTRIBUTION_OHE,PHD,CNB,368.73,370.2,368/3,368/26,DN,10.77,36.8,GOOD,GOOD,643.0,NORMAL,40.3,5603,-48,CLEAN,2,STABLE,True,False,200,0,334
OHE-0140,TRACTION_DISTRIBUTION_OHE,ETW,PHD,332.32,332.9,332/10,332/16,UP,10.09,53.9,WORN,GOOD,566.3,NORMAL,20.8,5638,77,POLLUTED,4,STABLE,True,False,65,0,260
OHE-0141,TRACTION_DISTRIBUTION_OHE,GZB,DER,26.7,27.69,26/1,26/20,DN,10.54,42.6,WORN,WORN,463.9,NORMAL,29.4,5496,-22,CLEAN,4,STABLE,True,False,115,0,290
OHE-0142,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,134.0,134.95,134/6,134/18,DN,9.66,64.7,WORN,GOOD,679.1,NORMAL,36.2,5590,0,CLEAN,2,STABLE,True,False,182,0,280
OHE-0143,TRACTION_DISTRIBUTION_OHE,ETW,PHD,343.36,344.34,343/9,343/22,UP,11.19,26.3,GOOD,GOOD,524.6,NORMAL,44.3,5588,-1,CLEAN,1,STABLE,True,False,43,0,358
OHE-0144,TRACTION_DISTRIBUTION_OHE,FZD,ETW,234.94,236.38,234/13,234/24,DN,9.48,69.2,CRITICAL,GOOD,504.5,NORMAL,26.0,5523,-72,CLEAN,25,STABLE,True,True,213,1,21
OHE-0145,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,142.53,143.93,142/5,142/30,UP,8.32,98.2,CONDEMN_RENEW,CRITICAL,586.8,NORMAL,31.0,5598,-78,CLEAN,11,STABLE,True,True,284,1,20
OHE-0146,TRACTION_DISTRIBUTION_OHE,FZD,ETW,275.01,276.5,275/15,275/30,DN,9.37,71.9,CRITICAL,GOOD,590.0,NORMAL,23.6,5595,24,CLEAN,10,STABLE,True,True,322,0,202
OHE-0147,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,94.85,96.1,94/14,94/25,DN,10.64,40.1,WORN,GOOD,474.1,NORMAL,22.5,5538,82,CLEAN,3,TILTING,True,False,166,0,187
OHE-0148,TRACTION_DISTRIBUTION_OHE,GZB,DER,33.5,34.59,33/14,33/25,UP,11.1,28.6,GOOD,GOOD,618.6,NORMAL,42.9,5541,-140,POLLUTED,1,STABLE,True,False,180,0,299
OHE-0149,TRACTION_DISTRIBUTION_OHE,TDL,FZD,220.49,221.8,220/12,220/18,DN,11.48,19.0,GOOD,WORN,535.8,NORMAL,25.3,5596,-78,CLEAN,4,STABLE,True,False,128,0,345
OHE-0150,TRACTION_DISTRIBUTION_OHE,FZD,ETW,280.77,282.19,280/8,280/25,UP,9.09,78.9,CRITICAL,WORN,618.0,NORMAL,40.5,5434,38,FLASHOVER_RISK,20,STABLE,True,True,128,1,12
OHE-0151,TRACTION_DISTRIBUTION_OHE,DER,KRJ,78.21,79.3,78/2,78/21,UP,10.41,45.9,WORN,WORN,609.9,NORMAL,36.4,5476,33,CLEAN,0,STABLE,True,False,99,0,292
OHE-0152,TRACTION_DISTRIBUTION_OHE,DER,KRJ,48.58,49.73,48/9,48/30,DN,11.94,7.5,GOOD,GOOD,482.1,NORMAL,24.8,5575,68,CLEAN,3,STABLE,True,False,47,0,357
OHE-0153,TRACTION_DISTRIBUTION_OHE,GZB,DER,34.09,34.78,34/11,34/28,DN,10.41,45.9,WORN,GOOD,402.2,NORMAL,17.4,5541,-111,CLEAN,2,SETTLEMENT,True,False,161,0,283
OHE-0154,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,115.94,116.91,115/9,115/28,DN,9.1,78.7,CRITICAL,GOOD,423.0,NORMAL,29.5,5400,70,CLEAN,11,STABLE,True,True,288,0,207
OHE-0155,TRACTION_DISTRIBUTION_OHE,GZB,DER,30.55,31.09,30/4,30/26,DN,11.33,22.8,GOOD,GOOD,554.0,NORMAL,26.7,5554,-55,CLEAN,3,STABLE,True,False,27,0,360
OHE-0156,TRACTION_DISTRIBUTION_OHE,DER,KRJ,79.03,80.4,79/3,79/28,DN,8.2,100.0,CONDEMN_RENEW,WORN,559.1,NORMAL,34.7,5535,-34,POLLUTED,25,STABLE,True,True,248,1,9
OHE-0157,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,23.35,23.93,23/2,23/21,DN,8.77,87.0,CONDEMN_RENEW,WORN,431.9,NORMAL,28.4,5486,51,CLEAN,25,STABLE,True,True,185,1,14
OHE-0158,TRACTION_DISTRIBUTION_OHE,GZB,DER,32.13,32.87,32/12,32/21,DN,8.83,85.5,CONDEMN_RENEW,WORN,404.0,NORMAL,18.9,5484,-33,CLEAN,23,STABLE,True,True,287,1,12
OHE-0159,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,6.07,6.98,6/3,6/21,UP,8.0,100.0,CONDEMN_RENEW,CRITICAL,510.8,NORMAL,21.4,5437,-67,CLEAN,34,STABLE,True,True,340,1,11
OHE-0160,TRACTION_DISTRIBUTION_OHE,TDL,FZD,222.0,222.92,222/9,222/26,UP,8.57,92.0,CONDEMN_RENEW,GOOD,446.9,NORMAL,26.7,5467,163,CLEAN,19,STABLE,True,True,185,1,14
OHE-0161,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,11.01,12.02,11/12,11/29,UP,11.4,21.1,GOOD,GOOD,648.5,NORMAL,26.5,5604,-5,CLEAN,2,STABLE,True,False,58,0,356
OHE-0162,TRACTION_DISTRIBUTION_OHE,DER,KRJ,59.34,60.62,59/15,59/18,DN,9.87,59.4,WORN,WORN,566.8,NORMAL,43.7,5602,107,CLEAN,4,STABLE,True,False,183,0,280
OHE-0163,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,161.72,162.79,161/14,161/27,DN,8.52,93.2,CONDEMN_RENEW,CRITICAL,531.6,NORMAL,22.7,5486,-26,FLASHOVER_RISK,32,STABLE,True,True,337,1,1
OHE-0164,TRACTION_DISTRIBUTION_OHE,FZD,ETW,272.41,273.26,272/4,272/18,UP,9.03,80.5,CRITICAL,GOOD,680.2,NORMAL,43.9,5473,-66,CLEAN,14,STABLE,True,True,303,0,204
OHE-0165,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,5.77,6.74,5/15,5/17,UP,10.14,52.6,WORN,GOOD,677.5,NORMAL,43.6,5572,-62,POLLUTED,2,SETTLEMENT,True,False,196,0,240
OHE-0166,TRACTION_DISTRIBUTION_OHE,PHD,CNB,393.13,394.58,393/11,393/29,DN,11.36,22.1,GOOD,GOOD,616.3,NORMAL,34.1,5573,44,FLASHOVER_RISK,11,STABLE,True,False,62,0,260
OHE-0167,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,186.3,187.31,186/4,186/16,UP,8.7,88.7,CONDEMN_RENEW,WORN,719.4,NORMAL,36.7,5606,87,CLEAN,12,STABLE,True,True,339,1,19
OHE-0168,TRACTION_DISTRIBUTION_OHE,DER,KRJ,69.92,70.48,69/8,69/21,DN,10.22,50.6,WORN,GOOD,528.9,NORMAL,24.7,5460,-82,CLEAN,4,STABLE,True,False,231,0,272
OHE-0169,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,185.77,187.09,185/3,185/30,UP,9.44,70.2,CRITICAL,GOOD,651.3,NORMAL,43.3,5448,-90,CLEAN,24,STABLE,True,True,178,1,22
OHE-0170,TRACTION_DISTRIBUTION_OHE,ETW,PHD,309.52,310.16,309/2,309/31,UP,8.74,87.7,CONDEMN_RENEW,CRITICAL,459.5,NORMAL,32.9,5538,29,CLEAN,11,STABLE,True,True,257,1,20
OHE-0171,TRACTION_DISTRIBUTION_OHE,PHD,CNB,385.51,386.64,385/1,385/17,UP,8.53,93.0,CONDEMN_RENEW,WORN,539.2,NORMAL,37.7,5562,79,CLEAN,25,STABLE,True,True,259,1,12
OHE-0172,TRACTION_DISTRIBUTION_OHE,FZD,ETW,282.06,283.22,282/9,282/27,DN,8.52,93.2,CONDEMN_RENEW,CRITICAL,643.6,NORMAL,42.1,5488,-13,CLEAN,26,STABLE,True,True,198,1,13
OHE-0173,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,104.72,105.59,104/5,104/17,UP,11.12,28.1,GOOD,WORN,512.5,NORMAL,34.0,5475,66,CLEAN,3,STABLE,True,False,201,0,334
OHE-0174,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,167.01,167.83,167/5,167/20,DN,9.3,73.7,CRITICAL,GOOD,601.2,NORMAL,39.2,5537,89,FLASHOVER_RISK,29,STABLE,True,True,300,1,10
OHE-0175,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,126.73,127.75,126/4,126/32,DN,10.07,54.4,WORN,GOOD,379.3,NORMAL,27.0,5456,-46,POLLUTED,4,STABLE,True,False,163,0,245
OHE-0176,TRACTION_DISTRIBUTION_OHE,PHD,CNB,378.28,378.88,378/4,378/17,DN,10.64,40.1,WORN,GOOD,515.7,NORMAL,34.3,5525,-142,CLEAN,1,STABLE,True,False,216,0,275
OHE-0177,TRACTION_DISTRIBUTION_OHE,FZD,ETW,233.06,234.07,233/14,233/29,DN,9.65,64.9,WORN,GOOD,581.5,NORMAL,41.1,5553,-44,CLEAN,0,STABLE,True,False,193,0,278
OHE-0178,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,145.61,146.83,145/9,145/18,UP,11.42,20.6,GOOD,WORN,621.0,NORMAL,29.7,5565,-177,CLEAN,3,STABLE,True,False,81,0,352
OHE-0179,TRACTION_DISTRIBUTION_OHE,TDL,FZD,217.59,218.31,217/4,217/20,DN,10.23,50.4,WORN,GOOD,446.8,NORMAL,30.3,5527,74,CLEAN,2,STABLE,True,False,184,0,280
OHE-0180,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,148.08,149.13,148/5,148/29,DN,11.45,19.8,GOOD,GOOD,693.8,NORMAL,42.4,5495,6,CLEAN,0,SETTLEMENT,True,False,52,0,357
OHE-0181,TRACTION_DISTRIBUTION_OHE,PHD,CNB,371.3,372.67,371/6,371/32,DN,8.66,89.7,CONDEMN_RENEW,GOOD,464.6,NORMAL,16.5,5646,-128,CLEAN,18,STABLE,True,True,169,1,14
OHE-0182,TRACTION_DISTRIBUTION_OHE,FZD,ETW,248.42,249.81,248/9,248/17,UP,9.47,69.4,CRITICAL,GOOD,506.1,NORMAL,21.8,5436,46,CLEAN,15,STABLE,True,True,199,0,220
OHE-0183,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,143.67,144.79,143/15,143/31,UP,9.6,66.2,CRITICAL,GOOD,451.2,NORMAL,25.4,5445,-73,CLEAN,35,STABLE,True,True,263,1,20
OHE-0184,TRACTION_DISTRIBUTION_OHE,GZB,DER,29.23,30.17,29/4,29/19,UP,8.93,83.0,CRITICAL,CRITICAL,569.7,NORMAL,36.4,5555,43,CLEAN,17,STABLE,True,True,314,1,19
OHE-0185,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,109.02,110.19,109/9,109/26,DN,11.03,30.3,GOOD,GOOD,418.0,NORMAL,23.4,5498,128,CLEAN,0,STABLE,True,False,60,0,355
OHE-0186,TRACTION_DISTRIBUTION_OHE,GZB,DER,29.41,30.12,29/12,29/17,DN,8.37,97.0,CONDEMN_RENEW,CRITICAL,530.2,NORMAL,15.5,5667,-21,CLEAN,25,STABLE,True,True,333,1,11
OHE-0187,TRACTION_DISTRIBUTION_OHE,GZB,DER,26.55,27.99,26/14,26/21,UP,9.21,75.9,CRITICAL,GOOD,442.2,NORMAL,30.9,5588,-10,CLEAN,25,STABLE,True,True,262,1,20
OHE-0188,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,95.51,96.58,95/6,95/27,UP,8.0,100.0,CONDEMN_RENEW,GOOD,429.9,NORMAL,25.4,5615,3,CLEAN,18,SETTLEMENT,True,True,290,1,12
OHE-0189,TRACTION_DISTRIBUTION_OHE,ETW,PHD,321.55,323.05,321/5,321/20,UP,8.01,100.0,CONDEMN_RENEW,WORN,326.8,NORMAL,17.3,5546,-53,CLEAN,20,STABLE,True,True,315,1,11
OHE-0190,TRACTION_DISTRIBUTION_OHE,ETW,PHD,301.91,303.13,301/15,301/21,UP,8.87,84.5,CRITICAL,CRITICAL,597.7,NORMAL,37.6,5487,2,CLEAN,23,STABLE,True,True,331,1,19
OHE-0191,TRACTION_DISTRIBUTION_OHE,FZD,ETW,242.97,243.79,242/4,242/26,UP,10.31,48.4,WORN,GOOD,649.7,NORMAL,39.9,5516,-24,FLASHOVER_RISK,18,STABLE,True,False,121,1,19
OHE-0192,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,114.38,115.69,114/11,114/21,UP,8.73,88.0,CONDEMN_RENEW,CRITICAL,567.2,NORMAL,28.7,5628,135,CLEAN,35,STABLE,True,True,266,1,12
OHE-0193,TRACTION_DISTRIBUTION_OHE,TDL,FZD,216.73,217.45,216/8,216/32,UP,10.64,40.1,WORN,GOOD,562.8,NORMAL,43.6,5573,-77,CLEAN,1,STABLE,True,False,155,0,284
OHE-0194,TRACTION_DISTRIBUTION_OHE,GZB,DER,32.7,33.52,32/14,32/17,DN,10.97,31.8,GOOD,GOOD,537.2,NORMAL,34.8,5534,81,CLEAN,3,STABLE,True,False,181,0,337
OHE-0195,TRACTION_DISTRIBUTION_OHE,GZB,DER,31.42,32.76,31/6,31/32,UP,8.56,92.2,CONDEMN_RENEW,GOOD,457.2,NORMAL,17.1,5604,46,FLASHOVER_RISK,23,STABLE,True,True,315,1,1
OHE-0196,TRACTION_DISTRIBUTION_OHE,ETW,PHD,304.21,305.36,304/13,304/25,DN,8.81,86.0,CONDEMN_RENEW,WORN,534.1,NORMAL,34.4,5528,-6,CLEAN,18,STABLE,True,True,313,1,11
OHE-0197,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,156.33,157.65,156/1,156/23,DN,10.69,38.8,GOOD,GOOD,602.7,NORMAL,41.3,5502,136,POLLUTED,0,STABLE,True,False,256,0,288
OHE-0198,TRACTION_DISTRIBUTION_OHE,TDL,FZD,211.81,212.88,211/2,211/26,DN,11.38,21.6,GOOD,GOOD,608.2,NORMAL,37.7,5646,-3,CLEAN,2,STABLE,True,False,22,0,361
OHE-0199,TRACTION_DISTRIBUTION_OHE,FZD,ETW,252.6,253.29,252/10,252/21,UP,10.6,41.1,WORN,GOOD,570.8,NORMAL,26.0,5487,-69,POLLUTED,4,STABLE,True,False,252,0,231
OHE-0200,TRACTION_DISTRIBUTION_OHE,DER,KRJ,68.54,69.99,68/5,68/25,DN,9.42,70.7,CRITICAL,GOOD,521.8,NORMAL,27.8,5617,-205,CLEAN,22,STABLE,True,True,203,1,21
OHE-0201,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,7.72,8.36,7/12,7/29,DN,8.0,100.0,CONDEMN_RENEW,WORN,491.8,NORMAL,18.3,5582,-67,CLEAN,31,STABLE,True,True,346,1,11
OHE-0202,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,117.33,118.04,117/15,117/25,DN,8.85,85.0,CONDEMN_RENEW,WORN,526.3,NORMAL,26.9,5477,-20,CLEAN,26,STABLE,True,True,267,1,12
OHE-0203,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,117.07,118.06,117/11,117/24,UP,11.57,16.8,GOOD,GOOD,560.6,NORMAL,41.2,5571,-158,CLEAN,1,STABLE,True,False,50,0,357
OHE-0204,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,17.36,18.53,17/15,17/29,UP,9.63,65.4,CRITICAL,GOOD,429.4,NORMAL,17.0,5589,-45,CLEAN,27,STABLE,True,True,365,1,19
OHE-0205,TRACTION_DISTRIBUTION_OHE,FZD,ETW,283.76,284.77,283/6,283/30,UP,8.55,92.5,CONDEMN_RENEW,WORN,617.7,NORMAL,37.9,5522,-11,CLEAN,9,STABLE,True,True,239,1,21
OHE-0206,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,167.39,168.6,167/5,167/23,DN,8.0,100.0,CONDEMN_RENEW,CRITICAL,568.8,NORMAL,29.4,5462,118,CLEAN,28,STABLE,True,True,284,1,12
OHE-0207,TRACTION_DISTRIBUTION_OHE,TDL,FZD,221.89,223.2,221/11,221/17,DN,10.08,54.1,WORN,WORN,516.5,NORMAL,18.3,5614,31,FLASHOVER_RISK,33,STABLE,True,False,145,1,18
OHE-0208,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,206.95,207.67,206/12,206/31,UP,11.9,8.5,GOOD,GOOD,686.5,NORMAL,33.6,5560,-36,CLEAN,2,STABLE,True,False,76,0,353
OHE-0209,TRACTION_DISTRIBUTION_OHE,ALJN,TDL,145.85,146.36,145/9,145/19,UP,8.0,100.0,CONDEMN_RENEW,WORN,580.3,NORMAL,37.9,5606,-111,CLEAN,10,STABLE,True,True,304,1,20
OHE-0210,TRACTION_DISTRIBUTION_OHE,PHD,CNB,437.02,437.83,437/8,437/27,UP,12.24,0.0,GOOD,GOOD,547.3,NORMAL,32.5,5536,73,CLEAN,0,SETTLEMENT,True,False,37,0,359
OHE-0211,TRACTION_DISTRIBUTION_OHE,TDL,FZD,220.06,220.57,220/6,220/26,DN,11.82,10.5,GOOD,GOOD,491.8,NORMAL,21.9,5532,-9,CLEAN,4,STABLE,True,False,10,0,363
OHE-0212,TRACTION_DISTRIBUTION_OHE,ETW,PHD,308.24,309.22,308/5,308/21,UP,8.0,100.0,CONDEMN_RENEW,WORN,462.0,NORMAL,16.0,5487,-61,CLEAN,17,STABLE,True,True,329,1,11
OHE-0213,TRACTION_DISTRIBUTION_OHE,PHD,CNB,382.71,383.64,382/9,382/17,UP,10.11,53.4,WORN,GOOD,435.1,NORMAL,23.2,5530,72,CLEAN,3,STABLE,True,False,134,0,287
OHE-0214,TRACTION_DISTRIBUTION_OHE,FZD,ETW,294.99,295.72,294/5,294/21,UP,8.9,83.7,CRITICAL,WORN,498.0,NORMAL,35.6,5522,-83,CLEAN,17,STABLE,True,True,339,1,19
OHE-0215,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,13.85,14.62,13/12,13/19,UP,10.2,51.1,WORN,GOOD,501.6,NORMAL,15.3,5684,67,POLLUTED,4,STABLE,True,False,166,0,244
OHE-0216,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,21.34,22.17,21/3,21/22,UP,9.15,77.4,CRITICAL,CRITICAL,527.8,NORMAL,38.2,5553,104,CLEAN,35,STABLE,True,True,174,1,22
OHE-0217,TRACTION_DISTRIBUTION_OHE,ETW,PHD,348.84,350.05,348/1,348/18,DN,10.91,33.3,GOOD,GOOD,537.5,NORMAL,25.6,5522,85,CLEAN,2,STABLE,True,False,216,0,332
OHE-0218,TRACTION_DISTRIBUTION_OHE,ETW,PHD,316.78,317.64,316/6,316/31,UP,10.6,41.1,WORN,GOOD,535.4,NORMAL,32.5,5500,-44,CLEAN,4,STABLE,True,False,45,0,301
OHE-0219,TRACTION_DISTRIBUTION_OHE,ETW,PHD,313.93,314.83,313/3,313/30,UP,8.75,87.5,CONDEMN_RENEW,WORN,540.5,NORMAL,26.1,5550,-41,CLEAN,14,STABLE,True,True,253,1,20
OHE-0220,TRACTION_DISTRIBUTION_OHE,FZD,ETW,229.91,231.13,229/10,229/17,DN,9.99,56.4,WORN,GOOD,584.7,NORMAL,33.2,5427,86,CLEAN,0,STABLE,True,False,162,0,283
OHE-0221,TRACTION_DISTRIBUTION_OHE,ETW,PHD,301.45,302.36,301/12,301/20,UP,9.97,56.9,WORN,GOOD,590.9,NORMAL,27.4,5549,-27,CLEAN,1,STABLE,True,False,241,0,271
OHE-0222,TRACTION_DISTRIBUTION_OHE,DER,KRJ,81.27,82.53,81/11,81/30,UP,10.41,45.9,WORN,GOOD,650.4,NORMAL,39.3,5473,-9,CLEAN,4,STABLE,True,False,155,0,284
OHE-0223,TRACTION_DISTRIBUTION_OHE,TDL,FZD,217.88,219.05,217/11,217/30,UP,11.78,11.5,GOOD,GOOD,616.0,NORMAL,41.7,5487,-73,CLEAN,4,STABLE,True,False,143,0,343
OHE-0224,TRACTION_DISTRIBUTION_OHE,FZD,ETW,258.35,259.62,258/10,258/24,DN,9.99,56.4,WORN,GOOD,668.1,NORMAL,31.7,5555,-63,CLEAN,3,STABLE,True,False,140,0,286
OHE-0225,TRACTION_DISTRIBUTION_OHE,NDLS,GZB,10.79,11.61,10/4,10/27,UP,11.01,30.8,GOOD,GOOD,620.3,NORMAL,34.9,5570,43,CLEAN,3,SETTLEMENT,True,False,140,0,343
OHE-0226,TRACTION_DISTRIBUTION_OHE,DER,KRJ,77.88,78.68,77/4,77/30,UP,11.68,14.0,GOOD,GOOD,574.0,NORMAL,41.7,5516,49,CLEAN,3,STABLE,True,False,29,0,360
OHE-0227,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,128.27,129.55,128/15,128/24,DN,10.17,51.9,WORN,GOOD,504.5,NORMAL,20.4,5606,97,CLEAN,4,STABLE,True,False,192,0,278
OHE-0228,TRACTION_DISTRIBUTION_OHE,FZD,ETW,280.78,281.81,280/7,280/16,UP,8.97,82.0,CRITICAL,GOOD,423.6,NORMAL,19.4,5519,123,CLEAN,30,SETTLEMENT,True,True,266,1,20
OHE-0229,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,113.1,114.19,113/5,113/25,UP,9.5,68.7,CRITICAL,GOOD,420.2,NORMAL,17.7,5561,31,CLEAN,35,STABLE,True,True,355,1,19
OHE-0230,TRACTION_DISTRIBUTION_OHE,PHD,CNB,402.27,402.83,402/15,402/30,DN,11.03,30.3,GOOD,GOOD,695.6,NORMAL,39.1,5542,33,CLEAN,1,STABLE,True,False,52,0,357
OHE-0231,TRACTION_DISTRIBUTION_OHE,KRJ,ALJN,103.35,104.49,103/4,103/18,UP,8.12,100.0,CONDEMN_RENEW,WORN,508.6,NORMAL,37.2,5623,78,CLEAN,35,STABLE,True,True,339,1,11
OHE-0232,TRACTION_DISTRIBUTION_OHE,FZD,ETW,297.33,297.85,297/7,297/30,DN,8.2,100.0,CONDEMN_RENEW,WORN,523.0,NORMAL,32.1,5577,-153,CLEAN,13,STABLE,True,True,354,1,19
OHE-0233,TRACTION_DISTRIBUTION_OHE,DER,KRJ,73.58,74.78,73/14,73/16,UP,8.0,100.0,CONDEMN_RENEW,WORN,435.0,NORMAL,24.2,5579,-82,CLEAN,11,STABLE,True,True,319,1,19
