asset_id,department,asset_type,station,km_location,line,point_throw_time_sec,motor_peak_current_amps,insulation_resistance_megohm,total_stroke_cycles,track_circuit_voltage,track_circuit_ballast_resistance,relay_age_years,ei_error_count_30d,battery_health_percentage,last_failure_days_ago,health_index,priority_tier,disconnection_required,days_since_last_maintenance,ground_truth_failure,ground_truth_rul_days
SIG-0144,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,225.9,UP,5.55,3.25,3.4,38985,0.0,5.0,18,0,98.8,596,22.83,CRITICAL,True,123,1,8
SIG-0145,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,37.75,DN,6.08,3.23,2.3,39565,0.0,5.0,19,0,80.6,404,13.25,CRITICAL,True,323,1,5
SIG-0146,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,GZB,25.38,UP,0.0,0.0,15.0,0,3.86,7.74,11,0,70.1,143,97.4,LOW,False,52,0,355
SIG-0147,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,209.63,DN,0.0,0.0,15.0,0,5.57,2.67,12,0,94.6,608,99.6,LOW,False,8,0,363
SIG-0148,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,208.18,DN,4.11,2.57,15.1,6712,0.0,5.0,14,0,94.7,371,80.23,LOW,False,29,0,293
SIG-0149,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,KRJ,83.99,DN,0.0,0.0,15.0,0,3.04,3.05,10,0,71.0,279,83.25,LOW,False,335,0,304
SIG-0150,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,PHD,356.11,UP,0.0,0.0,15.0,0,2.9,2.85,4,0,80.3,160,87.5,LOW,False,250,0,320
SIG-0151,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,207.59,DN,0.0,0.0,15.0,0,5.74,5.79,8,0,96.8,606,89.15,LOW,False,217,0,325
SIG-0152,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,35.98,DN,0.0,0.0,15.0,0,4.47,6.67,14,0,74.5,454,94.1,LOW,False,118,0,343
SIG-0153,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,130.23,YARD,0.0,0.0,15.0,0,3.3,2.41,16,0,82.6,616,62.849999999999994,LOW,True,343,0,231
SIG-0154,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,NDLS,0.0,DN,0.0,0.0,15.0,0,3.34,0.8,13,0,92.5,556,40.35,HIGH,True,293,1,14
SIG-0155,SIGNAL_AND_TELECOM,POINT_MACHINE,GZB,24.06,UP,6.38,2.84,3.9,41574,0.0,5.0,7,0,85.3,385,27.23,CRITICAL,True,169,1,10
SIG-0156,SIGNAL_AND_TELECOM,POINT_MACHINE,PHD,356.1,DN,6.19,3.58,4.0,44046,0.0,5.0,15,0,78.7,130,12.0,CRITICAL,True,155,1,4
SIG-0157,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,35.7,YARD,5.36,3.48,0.5,40025,0.0,5.0,14,0,80.4,381,11.57,CRITICAL,True,236,1,4
SIG-0158,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,226.77,DN,0.0,0.0,15.0,0,0.0,5.0,13,0,78.7,16,45.0,HIGH,True,285,1,16
SIG-0159,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,1.14,UP,5.48,3.05,1.2,34591,0.0,5.0,11,0,75.9,674,21.99,CRITICAL,True,140,1,8
SIG-0160,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,438.76,YARD,0.0,0.0,15.0,0,0.0,5.0,5,0,79.3,331,45.0,HIGH,True,230,1,16
SIG-0161,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,207.82,YARD,5.83,2.48,4.5,27945,0.0,5.0,15,0,94.2,452,40.05,HIGH,True,335,1,14
SIG-0162,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,300.47,DN,0.0,0.0,15.0,0,0.0,5.0,8,11,80.3,324,35.0,HIGH,True,68,1,13
SIG-0163,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,299.97,DN,6.04,2.7,5.6,26690,0.0,5.0,19,0,90.0,40,35.62,HIGH,True,159,1,13
SIG-0164,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,37.34,UP,0.0,0.0,15.0,0,4.3,7.46,12,0,96.9,413,90.85,LOW,False,183,0,332
SIG-0165,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,226.81,UP,0.0,0.0,15.0,0,0.0,5.0,6,0,71.7,593,45.0,HIGH,True,93,1,16
SIG-0166,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,440.0,YARD,0.0,0.0,15.0,0,6.28,6.61,16,0,90.2,442,68.55,LOW,False,229,0,251
SIG-0167,SIGNAL_AND_TELECOM,EI_SYSTEM,NDLS,0.21,UP,0.0,0.0,15.0,0,0.0,5.0,10,7,92.2,674,70.0,LOW,False,277,0,257
SIG-0168,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,NDLS,0.12,UP,0.0,0.0,15.0,0,1.87,4.25,4,0,81.1,161,50.85,HIGH,True,83,1,18
SIG-0169,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,GZB,25.9,YARD,0.0,0.0,15.0,0,6.13,1.6,7,0,73.4,253,41.25,HIGH,True,275,1,15
SIG-0170,SIGNAL_AND_TELECOM,AXLE_COUNTER,PHD,356.41,UP,0.0,0.0,15.0,0,0.0,5.0,13,0,86.1,438,45.0,HIGH,True,304,1,16
SIG-0171,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,KRJ,81.67,DN,0.0,0.0,15.0,0,3.57,6.47,3,0,87.4,525,97.3,LOW,False,54,0,355
SIG-0172,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,440.0,UP,0.0,0.0,15.0,0,3.6,1.96,13,0,85.2,527,47.55,HIGH,True,149,1,17
SIG-0173,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ETW,301.94,YARD,0.0,0.0,15.0,0,2.54,0.94,14,0,98.4,261,47.35,HIGH,True,153,1,17
SIG-0174,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,227.25,DN,0.0,0.0,15.0,0,0.0,5.0,9,0,91.3,350,45.0,HIGH,True,117,1,16
SIG-0175,SIGNAL_AND_TELECOM,AXLE_COUNTER,GZB,25.67,DN,0.0,0.0,15.0,0,0.0,5.0,1,0,94.3,622,96.0,LOW,False,218,0,350
SIG-0176,SIGNAL_AND_TELECOM,AXLE_COUNTER,KRJ,83.46,DN,0.0,0.0,15.0,0,0.0,5.0,19,0,88.5,527,45.0,HIGH,True,100,1,16
SIG-0177,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,210.44,UP,0.0,0.0,15.0,0,3.78,4.38,2,0,82.1,695,97.65,LOW,False,47,0,356
SIG-0178,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,440.0,UP,0.0,0.0,15.0,0,0.0,5.0,2,0,73.1,68,45.0,HIGH,True,277,1,16
SIG-0179,SIGNAL_AND_TELECOM,AXLE_COUNTER,GZB,25.76,UP,0.0,0.0,15.0,0,0.0,5.0,2,0,76.8,676,88.0,LOW,False,242,0,321
SIG-0180,SIGNAL_AND_TELECOM,EI_SYSTEM,DER,35.92,UP,0.0,0.0,15.0,0,0.0,5.0,12,3,90.8,594,100.0,LOW,False,209,0,365
SIG-0181,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,130.55,YARD,5.26,2.14,12.5,13593,0.0,5.0,10,0,87.5,222,73.1,MEDIUM,False,365,0,268
SIG-0182,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,84.22,DN,4.53,2.24,14.2,6528,0.0,5.0,4,0,86.3,494,81.7,LOW,False,276,0,299
SIG-0183,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,129.63,YARD,5.86,1.77,2.3,22153,0.0,5.0,5,0,75.8,306,49.0,HIGH,True,226,1,17
SIG-0184,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,131.07,YARD,0.0,0.0,15.0,0,5.82,1.14,10,0,95.0,557,45.95,HIGH,True,181,1,16
SIG-0185,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,209.57,UP,0.0,0.0,15.0,0,5.47,7.05,17,0,96.6,71,67.4,LOW,False,252,0,247
SIG-0186,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,440.0,DN,0.0,0.0,15.0,0,6.25,6.84,8,0,83.3,103,97.95,LOW,False,41,0,357
SIG-0187,SIGNAL_AND_TELECOM,AXLE_COUNTER,DER,38.08,YARD,0.0,0.0,15.0,0,0.0,5.0,7,0,93.0,660,84.0,LOW,False,8,0,307
SIG-0188,SIGNAL_AND_TELECOM,EI_SYSTEM,FZD,225.75,UP,0.0,0.0,15.0,0,0.0,5.0,8,5,90.4,460,70.0,LOW,False,138,0,257
SIG-0189,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,226.5,UP,5.27,2.85,5.1,27068,0.0,5.0,14,0,74.0,653,41.54,HIGH,True,153,1,15
SIG-0190,SIGNAL_AND_TELECOM,EI_SYSTEM,DER,36.0,YARD,0.0,0.0,15.0,0,0.0,5.0,2,10,91.9,643,35.0,HIGH,True,115,1,13
SIG-0191,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,FZD,226.64,UP,0.0,0.0,15.0,0,2.34,4.11,15,0,83.0,85,47.55,HIGH,True,149,1,17
SIG-0192,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,37.59,DN,0.0,0.0,15.0,0,2.94,4.79,9,0,73.1,284,97.7,LOW,False,46,0,356
SIG-0193,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,301.55,UP,5.54,2.48,13.4,9493,0.0,5.0,13,0,84.1,127,60.9,MEDIUM,True,238,0,224
SIG-0194,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.0,YARD,5.47,2.19,16.5,12196,0.0,5.0,8,0,76.7,61,68.77,MEDIUM,False,88,0,252
SIG-0195,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,440.0,UP,5.83,4.07,2.1,44830,0.0,5.0,4,0,77.7,418,8.85,CRITICAL,True,245,1,3
SIG-0196,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,226.95,YARD,4.88,2.31,18.2,3288,0.0,5.0,1,0,97.5,542,74.8,MEDIUM,False,66,0,274
SIG-0197,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,82.09,DN,3.53,2.27,13.8,7614,0.0,5.0,8,0,98.9,594,88.94,LOW,False,17,0,325
SIG-0198,SIGNAL_AND_TELECOM,POINT_MACHINE,PHD,357.56,UP,4.22,1.63,16.4,4764,0.0,5.0,9,0,82.9,171,96.7,LOW,False,242,0,353
SIG-0199,SIGNAL_AND_TELECOM,EI_SYSTEM,PHD,356.88,UP,0.0,0.0,15.0,0,0.0,5.0,10,2,89.4,59,100.0,LOW,False,230,0,365
SIG-0200,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,438.98,DN,5.52,3.27,11.3,32503,0.0,5.0,8,0,84.5,536,42.61,HIGH,True,323,1,15
SIG-0201,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,KRJ,82.07,UP,0.0,0.0,15.0,0,5.42,1.59,1,0,85.2,383,51.75,HIGH,True,65,1,18
SIG-0202,SIGNAL_AND_TELECOM,AXLE_COUNTER,TDL,209.0,YARD,0.0,0.0,15.0,0,0.0,5.0,11,0,90.9,538,45.0,HIGH,True,102,1,16
SIG-0203,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ETW,300.37,UP,0.0,0.0,15.0,0,3.05,2.13,12,0,73.7,597,92.65,LOW,False,147,0,338
SIG-0204,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,440.0,DN,0.0,0.0,15.0,0,4.98,0.94,1,0,70.6,461,50.65,HIGH,True,87,1,18
SIG-0205,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,210.24,YARD,5.86,3.17,2.6,34696,0.0,5.0,3,0,72.0,197,17.66,CRITICAL,True,125,1,6
SIG-0206,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,TDL,210.11,DN,0.0,0.0,15.0,0,2.5,5.94,5,0,76.6,221,81.95,LOW,False,361,0,300
SIG-0207,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,227.32,YARD,0.0,0.0,15.0,0,0.0,5.0,14,0,71.1,470,45.0,HIGH,True,85,1,16
SIG-0208,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ETW,300.28,YARD,0.0,0.0,15.0,0,3.6,1.23,9,0,74.5,512,38.55,HIGH,True,329,1,14
SIG-0209,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ETW,299.94,UP,0.0,0.0,15.0,0,2.54,5.67,6,0,80.8,424,85.0,LOW,False,300,0,311
SIG-0210,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,130.79,UP,0.0,0.0,15.0,0,3.45,7.25,3,0,75.9,435,94.5,LOW,False,110,0,345
SIG-0211,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ETW,299.93,DN,0.0,0.0,15.0,0,3.94,4.48,2,0,75.4,259,94.65,LOW,False,107,0,345
SIG-0212,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,226.86,DN,0.0,0.0,15.0,0,0.0,5.0,14,0,75.5,485,45.0,HIGH,True,205,1,16
SIG-0213,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,227.05,YARD,6.17,3.56,0.8,43359,0.0,5.0,3,0,78.7,292,2.4,CRITICAL,True,294,1,1
SIG-0214,SIGNAL_AND_TELECOM,EI_SYSTEM,GZB,24.59,YARD,0.0,0.0,15.0,0,0.0,5.0,3,3,76.4,628,100.0,LOW,False,300,0,365
SIG-0215,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,439.13,DN,4.73,2.37,11.5,8697,0.0,5.0,15,0,84.7,11,75.64,LOW,False,318,0,277
SIG-0216,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,131.11,YARD,0.0,0.0,15.0,0,3.95,3.15,10,0,96.9,238,92.3,LOW,False,154,0,337
SIG-0217,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,GZB,24.22,YARD,0.0,0.0,15.0,0,4.23,3.31,20,0,79.2,430,78.85,LOW,False,23,0,288
SIG-0218,SIGNAL_AND_TELECOM,EI_SYSTEM,KRJ,83.26,UP,0.0,0.0,15.0,0,0.0,5.0,9,1,97.3,192,100.0,LOW,False,133,0,365
SIG-0219,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,36.62,UP,0.0,0.0,15.0,0,5.85,7.62,4,0,80.2,241,85.95,LOW,False,281,0,314
SIG-0220,SIGNAL_AND_TELECOM,AXLE_COUNTER,ETW,301.28,YARD,0.0,0.0,15.0,0,0.0,5.0,14,0,97.1,477,84.0,LOW,False,82,0,307
SIG-0221,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ETW,301.36,YARD,0.0,0.0,15.0,0,4.12,6.96,1,0,70.5,460,82.65,LOW,False,347,0,302
SIG-0222,SIGNAL_AND_TELECOM,EI_SYSTEM,FZD,226.65,YARD,0.0,0.0,15.0,0,0.0,5.0,9,14,73.8,344,35.0,HIGH,True,191,1,13
SIG-0223,SIGNAL_AND_TELECOM,POINT_MACHINE,GZB,26.33,DN,5.11,2.12,16.2,23611,0.0,5.0,17,0,83.4,82,75.82,LOW,False,272,0,277
SIG-0224,SIGNAL_AND_TELECOM,POINT_MACHINE,ALJN,131.16,YARD,5.78,2.8,7.4,39809,0.0,5.0,4,0,83.6,128,41.97,HIGH,True,218,1,15
SIG-0225,SIGNAL_AND_TELECOM,AXLE_COUNTER,DER,37.36,YARD,0.0,0.0,15.0,0,0.0,5.0,4,0,89.7,84,45.0,HIGH,True,340,1,16
SIG-0226,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,81.92,UP,5.42,3.04,3.4,26874,0.0,5.0,6,0,85.7,322,29.72,CRITICAL,True,152,1,11
SIG-0227,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,GZB,25.11,DN,0.0,0.0,15.0,0,4.48,6.96,3,0,90.2,10,83.3,LOW,False,334,0,304
SIG-0228,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,440.0,DN,0.0,0.0,15.0,0,0.0,5.0,19,0,78.1,626,45.0,HIGH,True,41,1,16
SIG-0229,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,440.0,YARD,0.0,0.0,15.0,0,0.0,5.0,19,0,91.5,564,80.0,LOW,False,154,0,293
SIG-0230,SIGNAL_AND_TELECOM,AXLE_COUNTER,KRJ,83.45,YARD,0.0,0.0,15.0,0,0.0,5.0,19,0,97.1,388,80.0,LOW,False,26,0,293
SIG-0231,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,131.77,DN,0.0,0.0,15.0,0,6.32,4.5,10,0,95.9,39,98.15,LOW,False,37,0,358
SIG-0232,SIGNAL_AND_TELECOM,POINT_MACHINE,GZB,25.11,UP,6.31,3.68,0.8,40423,0.0,5.0,11,0,90.7,14,2.4,CRITICAL,True,300,1,1
SIG-0233,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,208.38,DN,4.82,1.94,13.4,6912,0.0,5.0,12,0,89.0,136,84.41,LOW,False,149,0,308
SIG-0234,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,208.23,YARD,6.5,3.1,4.7,41751,0.0,5.0,13,0,73.9,104,23.51,CRITICAL,True,359,1,8
SIG-0235,SIGNAL_AND_TELECOM,EI_SYSTEM,ALJN,131.98,DN,0.0,0.0,15.0,0,0.0,5.0,17,7,88.7,49,70.0,LOW,False,221,0,257
SIG-0236,SIGNAL_AND_TELECOM,EI_SYSTEM,NDLS,0.76,YARD,0.0,0.0,15.0,0,0.0,5.0,20,2,83.8,587,100.0,LOW,False,54,0,365
SIG-0237,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,36.44,UP,5.51,3.0,7.3,31532,0.0,5.0,1,0,97.3,432,41.01,HIGH,True,102,1,15
SIG-0238,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,FZD,226.82,YARD,0.0,0.0,15.0,0,2.46,7.52,14,0,70.9,280,39.55,HIGH,True,309,1,14
SIG-0239,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,132.03,UP,0.0,0.0,15.0,0,5.21,7.34,17,0,80.1,628,76.05,LOW,False,79,0,278
SIG-0240,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,299.65,YARD,4.96,3.35,10.2,28891,0.0,5.0,12,0,73.4,681,49.13,HIGH,True,34,1,17
SIG-0241,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,131.23,UP,0.0,0.0,15.0,0,2.16,7.1,5,0,95.9,298,49.55,HIGH,True,109,1,18
SIG-0242,SIGNAL_AND_TELECOM,AXLE_COUNTER,ALJN,131.95,DN,0.0,0.0,15.0,0,0.0,5.0,6,0,76.0,501,45.0,HIGH,True,25,1,16
SIG-0243,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,130.42,UP,0.0,0.0,15.0,0,6.1,2.52,4,0,89.9,125,99.35,LOW,False,13,0,362
SIG-0244,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,438.95,YARD,5.89,3.75,7.4,38725,0.0,5.0,9,0,93.8,498,23.85,CRITICAL,True,107,1,9
SIG-0245,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.0,DN,5.46,2.62,7.1,28587,0.0,5.0,14,0,70.6,119,50.11,HIGH,True,213,1,18
SIG-0246,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,208.87,DN,4.57,2.76,5.0,28392,0.0,5.0,15,0,96.0,241,53.86,HIGH,True,260,1,19
SIG-0247,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,301.74,YARD,0.0,0.0,15.0,0,0.0,5.0,4,14,85.0,529,35.0,HIGH,True,29,1,13
SIG-0248,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,225.32,YARD,6.25,3.31,2.5,42742,0.0,5.0,17,0,88.2,304,11.97,CRITICAL,True,181,1,4
SIG-0249,SIGNAL_AND_TELECOM,POINT_MACHINE,PHD,356.14,DN,5.39,2.61,11.5,10256,0.0,5.0,16,0,93.0,361,60.09,MEDIUM,True,327,0,221
SIG-0250,SIGNAL_AND_TELECOM,POINT_MACHINE,TDL,207.9,DN,5.84,2.79,5.8,25356,0.0,5.0,13,0,77.8,560,36.51,HIGH,True,48,1,13
SIG-0251,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,440.0,DN,0.0,0.0,15.0,0,0.0,5.0,2,0,81.3,178,80.0,LOW,False,176,0,293
SIG-0252,SIGNAL_AND_TELECOM,POINT_MACHINE,PHD,356.58,YARD,3.71,2.1,14.4,2750,0.0,5.0,15,0,77.7,84,92.94,LOW,False,178,0,339
SIG-0253,SIGNAL_AND_TELECOM,POINT_MACHINE,PHD,356.8,UP,4.84,2.21,20.3,6584,0.0,5.0,19,0,77.4,509,77.75,LOW,False,334,0,284
SIG-0254,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,225.99,YARD,0.0,0.0,15.0,0,0.0,5.0,11,0,91.4,663,45.0,HIGH,True,113,1,16
SIG-0255,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,130.09,UP,0.0,0.0,15.0,0,6.3,4.79,2,0,84.9,505,91.25,LOW,False,175,0,333
SIG-0256,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,440.0,YARD,4.8,2.67,7.4,23682,0.0,5.0,8,0,98.8,334,59.73,MEDIUM,True,207,0,220
SIG-0257,SIGNAL_AND_TELECOM,POINT_MACHINE,GZB,25.47,YARD,5.24,2.87,5.4,33765,0.0,5.0,18,0,85.3,505,42.42,HIGH,True,6,1,15
SIG-0258,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.91,UP,5.62,2.81,8.5,26284,0.0,5.0,5,0,91.0,653,47.44,HIGH,True,173,1,17
SIG-0259,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,GZB,24.18,DN,0.0,0.0,15.0,0,4.4,6.47,7,0,88.2,374,85.45,LOW,False,291,0,312
SIG-0260,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,131.13,UP,0.0,0.0,15.0,0,5.63,5.23,5,0,71.4,413,88.95,LOW,False,221,0,325
SIG-0261,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,36.66,DN,5.09,2.32,14.5,4372,0.0,5.0,15,0,70.9,298,71.41,MEDIUM,False,297,0,262
SIG-0262,SIGNAL_AND_TELECOM,AXLE_COUNTER,FZD,226.18,YARD,0.0,0.0,15.0,0,0.0,5.0,2,0,93.1,548,45.0,HIGH,True,354,1,16
SIG-0263,SIGNAL_AND_TELECOM,AXLE_COUNTER,NDLS,0.44,YARD,0.0,0.0,15.0,0,0.0,5.0,8,0,92.0,333,88.0,LOW,False,98,0,321
SIG-0264,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,37.54,YARD,0.0,0.0,15.0,0,3.75,5.51,5,0,89.9,99,97.45,LOW,False,51,0,355
SIG-0265,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,ALJN,131.0,YARD,0.0,0.0,15.0,0,2.51,7.64,20,0,76.1,543,74.6,LOW,False,108,0,273
SIG-0266,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,302.1,YARD,4.55,1.93,19.8,1303,0.0,5.0,11,0,98.3,198,88.69,LOW,False,356,0,324
SIG-0267,SIGNAL_AND_TELECOM,EI_SYSTEM,DER,37.7,YARD,0.0,0.0,15.0,0,0.0,5.0,18,11,80.2,449,35.0,HIGH,True,51,1,13
SIG-0268,SIGNAL_AND_TELECOM,POINT_MACHINE,ETW,301.49,UP,6.11,4.02,4.8,36010,0.0,5.0,15,0,77.1,644,14.4,CRITICAL,True,75,1,5
SIG-0269,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,PHD,357.43,DN,0.0,0.0,15.0,0,6.45,4.65,5,0,74.7,514,93.1,LOW,False,138,0,340
SIG-0270,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,KRJ,83.45,UP,0.0,0.0,15.0,0,5.74,6.83,19,0,76.9,285,77.65,LOW,False,47,0,284
SIG-0271,SIGNAL_AND_TELECOM,AXLE_COUNTER,TDL,207.5,DN,0.0,0.0,15.0,0,0.0,5.0,9,0,71.6,524,96.0,LOW,False,249,0,350
SIG-0272,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,440.0,DN,0.0,0.0,15.0,0,2.54,1.68,6,0,86.6,117,52.05,HIGH,True,59,1,18
SIG-0273,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,439.91,UP,0.0,0.0,15.0,0,4.39,5.32,6,0,74.7,128,92.2,LOW,False,156,0,336
SIG-0274,SIGNAL_AND_TELECOM,POINT_MACHINE,KRJ,84.05,YARD,5.34,2.27,12.1,16857,0.0,5.0,16,0,73.5,144,68.84,MEDIUM,False,66,0,252
SIG-0275,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,CNB,440.0,UP,0.0,0.0,15.0,0,2.46,2.03,15,0,86.1,383,44.75,HIGH,True,205,1,16
SIG-0276,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,GZB,24.23,YARD,0.0,0.0,15.0,0,4.62,6.75,15,0,71.9,109,99.4,LOW,False,12,0,362
SIG-0277,SIGNAL_AND_TELECOM,POINT_MACHINE,CNB,440.0,DN,5.28,2.9,9.9,30771,0.0,5.0,15,0,98.3,23,54.62,HIGH,True,284,1,19
SIG-0278,SIGNAL_AND_TELECOM,EI_SYSTEM,ETW,300.37,YARD,0.0,0.0,15.0,0,0.0,5.0,6,10,74.8,348,35.0,HIGH,True,266,1,13
SIG-0279,SIGNAL_AND_TELECOM,AXLE_COUNTER,GZB,26.02,UP,0.0,0.0,15.0,0,0.0,5.0,5,0,88.8,608,88.0,LOW,False,189,0,321
SIG-0280,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,DER,37.6,YARD,0.0,0.0,15.0,0,4.41,5.96,12,0,74.8,550,87.95,LOW,False,241,0,321
SIG-0281,SIGNAL_AND_TELECOM,POINT_MACHINE,NDLS,0.74,YARD,5.92,3.65,3.6,43760,0.0,5.0,12,0,81.7,214,12.0,CRITICAL,True,147,1,4
SIG-0282,SIGNAL_AND_TELECOM,POINT_MACHINE,DER,36.38,DN,5.21,3.32,1.7,36994,0.0,5.0,13,0,81.1,153,21.19,CRITICAL,True,276,1,8
SIG-0283,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,KRJ,82.38,YARD,0.0,0.0,15.0,0,3.93,3.6,2,0,93.7,666,89.5,LOW,False,210,0,327
SIG-0284,SIGNAL_AND_TELECOM,TRACK_CIRCUIT,GZB,24.32,UP,0.0,0.0,15.0,0,6.4,4.21,13,0,90.9,238,97.95,LOW,False,41,0,357
SIG-0285,SIGNAL_AND_TELECOM,AXLE_COUNTER,CNB,440.0,UP,0.0,0.0,15.0,0,0.0,5.0,10,0,90.1,191,45.0,HIGH,True,130,1,16
SIG-0286,SIGNAL_AND_TELECOM,AXLE_COUNTER,PHD,356.11,YARD,0.0,0.0,15.0,0,0.0,5.0,1,0,90.5,672,84.0,LOW,False,169,0,307
SIG-0287,SIGNAL_AND_TELECOM,EI_SYSTEM,KRJ,82.74,UP,0.0,0.0,15.0,0,0.0,5.0,15,8,72.8,22,70.0,LOW,False,210,0,257
SIG-0288,SIGNAL_AND_TELECOM,POINT_MACHINE,FZD,226.95,DN,4.2,2.35,14.3,11769,0.0,5.0,7,0,77.5,101,84.06,LOW,False,307,0,307
